"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3170000","PHMH320193170035087500026","20190903","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 범안로 1239 (독산동)","08580","세븐일레븐 금천부창점","2019-09-04 09:03:14","I","2019-09-06 02:22:30.0","","191041.796151932    ","440503.475513213    ",""
"3170000","PHMH320193170035087500027","20190906","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로 10, 백운매트로엔 101호 (시흥동)","08649","세븐일레븐 금천백산점","2019-09-06 17:23:40","I","2019-09-08 02:22:22.0","","191454.010997671    ","438492.853814448    ",""
"3170000","PHMH320193170035087500028","20190910","","03","폐업","03","폐업","20201110","","","","","","","","서울특별시 금천구 문성로 49-9, 야호프라자 1층 101,102호 (독산동)","08549","세븐일레븐 금천문성점","2020-11-10 13:15:51","U","2020-11-12 02:40:00.0","","191861.673649979    ","441683.41080855     ",""
"3170000","PHMH320193170035087500029","2019-09-17","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로50길 26, 1층 (시흥동)","08630","세븐일레븐 시흥은행나무점","2023-06-29 10:16:20","U","2022-12-07 00:01:00.0","","191401.279229826","438819.460937417",""
"3170000","PHMH320193170035087500030","20190925","","03","폐업","03","폐업","20210426","","","","","","","","서울특별시 금천구 시흥대로153길 78, 1층 (가산동)","08529","세븐일레븐 금천본점","2021-04-26 10:42:46","U","2021-04-28 02:40:00.0","","190568.592852167    ","441606.525698085    ",""
"3170000","PHMH320193170035087500031","2019-10-31","","01","영업/정상","13","영업중","","","","","02-805-5626","","","","서울특별시 금천구 시흥대로 72 (시흥동)","08652","GS25 시흥대로2점","2023-06-29 10:15:59","U","2022-12-07 00:01:00.0","","191414.317827986","437602.625094324",""
"3170000","PHMH320193170035087500032","20191108","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로22가길 18 (시흥동)","08571","GS25 금천초교점","2019-11-08 15:16:14","I","2019-11-10 00:23:10.0","","192046.795087873    ","439040.908640073    ",""
"3170000","PHMH320193170035087500033","20191111","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 남부순환로126길 15 (독산동)","08548","세븐일레븐 금천대장점","2021-10-19 13:58:25","U","2021-10-21 02:40:00.0","","191617.408542691    ","441926.565947691    ","0"
"3170000","PHMH320193170035087500034","20191114","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 가산로3길 84, 1층 (가산동)","08521","씨유 금천서울점","2019-11-14 13:21:09","I","2019-11-16 00:23:15.0","","190285.477808771    ","441157.570898091    ",""
"3170000","PHMH320193170035087500035","20191202","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로 335-1 (독산동)","08538","세븐일레븐 독산본점","2019-12-02 13:51:30","I","2019-12-04 00:23:27.0","","191386.912754799    ","441627.903800041    ",""
"3170000","PHMH320203170035087500001","20200116","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 가산로 89, 대명U타운 102호 (가산동)","08520","세븐일레븐 가산광진점","2020-01-16 15:11:49","I","2020-01-18 00:23:24.0","","190576.608066861    ","441306.841473561    ",""
"3170000","PHMH320203170035087500002","20200123","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 독산동 192번지 22호","서울특별시 금천구 독산로 250, 1층 (독산동)","08557","씨유 독산광장점","2021-10-19 13:49:44","U","2021-10-21 02:40:00.0","","191321.505420593    ","440771.958692379    ","0"
