"동별(1)",동별(2),동별(3),2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,중곡2동,10645,21739,10217,11522,21428,10105,11323,311,112,199
"합계",광진구,중곡3동,8461,16357,8077,8280,16135,7995,8140,222,82,140
"합계",광진구,중곡4동,13174,28954,14127,14827,28577,13991,14586,377,136,241
"합계",광진구,능동,6401,11619,5363,6256,11301,5211,6090,318,152,166
"합계",광진구,구의1동,12154,22139,10533,11606,21542,10254,11288,597,279,318
"합계",광진구,구의2동,11593,27008,13003,14005,26522,12797,13725,486,206,280
"합계",광진구,구의3동,12156,28891,13664,15227,28654,13563,15091,237,101,136
"합계",광진구,광장동,11910,34834,16861,17973,34665,16787,17878,169,74,95
"합계",광진구,자양1동,11911,23134,11180,11954,22285,10822,11463,849,358,491
"합계",광진구,자양2동,11014,24930,12072,12858,24632,11937,12695,298,135,163
"합계",광진구,자양3동,11093,28330,13525,14805,28073,13418,14655,257,107,150
"합계",광진구,자양4동,9959,21296,10448,10848,17957,8942,9015,3339,1506,1833
"합계",동대문구,소계,168219,352006,172162,179844,337400,166646,170754,14606,5516,9090
"합계",동대문구,회기동,6549,12727,5821,6906,10498,5000,5498,2229,821,1408
"합계",동대문구,휘경1동,7624,16105,7354,8751,13927,6633,7294,2178,721,1457
"합계",동대문구,휘경2동,12114,24847,12306,12541,24115,12043,12072,732,263,469
"합계",동대문구,청량리동,9675,19280,9546,9734,18813,9343,9470,467,203,264
"합계",동대문구,용신동,18938,33055,16468,16587,31619,15897,15722,1436,571,865
"합계",동대문구,제기동,13423,26577,13328,13249,24617,12612,12005,1960,716,1244
"합계",동대문구,전농1동,14863,29699,14816,14883,29198,14627,14571,501,189,312
"합계",동대문구,전농2동,7642,18876,9059,9817,18557,8935,9622,319,124,195
"합계",동대문구,답십리2동,12656,28595,13904,14691,28334,13781,14553,261,123,138
"합계",동대문구,장안1동,18428,38794,19152,19642,38241,18930,19311,553,222,331
"합계",동대문구,장안2동,14056,32791,16332,16459,32484,16210,16274,307,122,185
"합계",동대문구,이문1동,10418,20870,10070,10800,18019,8993,9026,2851,1077,1774
"합계",동대문구,이문2동,8744,20417,9857,10560,19987,9658,10329,430,199,231
"합계",동대문구,답십리1동,13089,29373,14149,15224,28991,13984,15007,382,165,217
"합계",중랑구,소계,185712,391885,192903,198982,387350,191112,196238,4535,1791,2744
"합계",중랑구,면목2동,12180,24405,12134,12271,24049,12000,12049,356,134,222
"합계",중랑구,면목4동,9137,19308,9583,9725,19029,9470,9559,279,113,166
"합계",중랑구,면목5동,6439,14897,7458,7439,14784,7421,7363,113,37,76
"합계",중랑구,면목7동,10600,22070,11062,11008,21756,10934,10822,314,128,186
"합계",중랑구,상봉1동,10266,24190,11773,12417,24046,11714,12332,144,59,85
"합계",중랑구,상봉2동,12269,20647,9919,10728,20341,9801,10540,306,118,188
"합계",중랑구,중화1동,9085,19784,9691,10093,19611,9624,9987,173,67,106
"합계",중랑구,중화2동,13631,25315,12966,12349,24875,12781,12094,440,185,255
"합계",중랑구,묵1동,14854,34636,16701,17935,34443,16639,17804,193,62,131
"합계",중랑구,묵2동,9259,18946,9261,9685,18718,9173,9545,228,88,140
"합계",중랑구,망우3동,8238,16698,8347,8351,16359,8204,8155,339,143,196
"합계",중랑구,신내1동,14704,38649,18711,19938,38512,18652,19860,137,59,78
"합계",중랑구,신내2동,9033,20529,9763,10766,20435,9735,10700,94,28,66
"합계",중랑구,면목본동,17660,34188,16864,17324,33478,16582,16896,710,282,428
"합계",중랑구,면목3.8동,12668,25154,12444,12710,24759,12272,12487,395,172,223
"합계",중랑구,망우본동,15689,32469,16226,16243,32155,16110,16045,314,116,198
"합계",성북구,소계,195017,440142,211150,228992,430528,207578,222950,9614,3572,6042
"합계",성북구,돈암1동,6114,14791,6903,7888,14687,6869,7818,104,34,70
"합계",성북구,돈암2동,8594,23913,11324,12589,23825,11285,12540,88,39,49
"합계",성북구,안암동,9385,16527,8025,8502,14936,7502,7434,1591,523,1068
"합계",성북구,보문동,7739,15766,7591,8175,15416,7449,7967,350,142,208
"합계",성북구,정릉1동,7369,18377,8801,9576,18178,8729,9449,199,72,127
"합계",성북구,정릉2동,9902,23268,11205,12063,23048,11130,11918,220,75,145
"합계",성북구,정릉3동,7879,16210,7948,8262,15046,7491,7555,1164,457,707
"합계",성북구,정릉4동,10860,25322,12105,13217,24873,11992,12881,449,113,336
"합계",성북구,길음1동,12519,35615,16914,18701,35462,16848,18614,153,66,87
"합계",성북구,길음2동,6905,16780,8038,8742,16653,7977,8676,127,61,66
"합계",성북구,월곡1동,10854,26525,12779,13746,26335,12719,13616,190,60,130
"합계",성북구,월곡2동,9617,19896,9564,10332,19442,9355,10087,454,209,245
"합계",성북구,장위1동,10777,24511,11981,12530,24315,11911,12404,196,70,126
"합계",성북구,장위2동,6716,13953,6870,7083,13740,6781,6959,213,89,124
"합계",성북구,장위3동,6499,15980,7864,8116,15855,7809,8046,125,55,70
"합계",성북구,성북동,8225,17026,7922,9104,16522,7715,8807,504,207,297
"합계",성북구,삼선동,11531,23413,11108,12305,22871,10915,11956,542,193,349
"합계",성북구,동선동,9534,16115,6684,9431,15480,6509,8971,635,175,460
"합계",성북구,종암동,17149,40325,19805,20520,38809,19250,19559,1516,555,961
"합계",성북구,석관동,16849,35829,17719,18110,35035,17342,17693,794,377,417
"합계",강북구,소계,144536,302563,146984,155579,299182,145705,153477,3381,1279,2102
"합계",강북구,번1동,10279,18717,9404,9313,18353,9271,9082,364,133,231
"합계",강북구,번2동,7597,15932,7690,8242,15847,7664,8183,85,26,59
"합계",강북구,번3동,7478,16905,7903,9002,16846,7893,8953,59,10,49
"합계",강북구,수유1동,10419,20849,10273,10576,20639,10195,10444,210,78,132
"합계",강북구,수유2동,9866,21421,10217,11204,21278,10174,11104,143,43,100
"합계",강북구,수유3동,12921,23393,11615,11778,22983,11464,11519,410,151,259
"합계",강북구,삼양동,11126,23802,11843,11959,23629,11783,11846,173,60,113
"합계",강북구,미아동,11687,21997,10538,11459,21504,10342,11162,493,196,297
"합계",강북구,송중동,13975,30035,14405,15630,29478,14165,15313,557,240,317
"합계",강북구,송천동,13549,26801,13261,13540,26380,13093,13287,421,168,253
"합계",강북구,삼각산동,11577,31470,15100,16370,31361,15054,16307,109,46,63
"합계",강북구,우이동,9613,20678,9985,10693,20542,9935,10607,136,50,86
"합계",강북구,인수동,14449,30563,14750,15813,30342,14672,15670,221,78,143
"합계",도봉구,소계,138656,319373,155221,164152,317366,154487,162879,2007,734,1273
"합계",도봉구,쌍문1동,9407,21658,10387,11271,21380,10313,11067,278,74,204
"합계",도봉구,쌍문2동,8594,18864,9014,9850,18728,8952,9776,136,62,74
"합계",도봉구,쌍문3동,7890,16768,8108,8660,16614,8058,8556,154,50,104
"합계",도봉구,쌍문4동,7099,18643,8802,9841,18606,8797,9809,37,5,32
"합계",도봉구,방학1동,12938,28912,14331,14581,28673,14234,14439,239,97,142
"합계",도봉구,방학2동,9418,19867,10010,9857,19669,9926,9743,198,84,114
"합계",도봉구,방학3동,9992,27110,13158,13952,27043,13139,13904,67,19,48
"합계",도봉구,창1동,10957,24827,11775,13052,24706,11732,12974,121,43,78
"합계",도봉구,창2동,12613,29337,14273,15064,29099,14173,14926,238,100,138
"합계",도봉구,창3동,6544,13923,6952,6971,13836,6920,6916,87,32,55
"합계",도봉구,창4동,10699,26583,12790,13793,26496,12755,13741,87,35,52
"합계",도봉구,창5동,10245,24709,11782,12927,24607,11750,12857,102,32,70
"합계",도봉구,도봉1동,10385,21210,10681,10529,21072,10632,10440,138,49,89
"합계",도봉구,도봉2동,11875,26962,13158,13804,26837,13106,13731,125,52,73
"합계",노원구,소계,217378,514946,247813,267133,510956,246053,264903,3990,1760,2230
"합계",노원구,월계1동,10228,22240,11487,10753,21602,11149,10453,638,338,300
"합계",노원구,월계2동,11944,26704,12842,13862,26568,12794,13774,136,48,88
"합계",노원구,월계3동,12991,30069,14343,15726,29885,14266,15619,184,77,107
"합계",노원구,공릉2동,17045,41004,19979,21025,40374,19690,20684,630,289,341
"합계",노원구,하계1동,11491,27036,12954,14082,26562,12728,13834,474,226,248
"합계",노원구,하계2동,8211,22034,10500,11534,21977,10476,11501,57,24,33
"합계",노원구,중계본동,8383,24009,11679,12330,23955,11659,12296,54,20,34
"합계",노원구,중계1동,8956,26877,13041,13836,26778,13002,13776,99,39,60
"합계",노원구,중계4동,8343,19975,9598,10377,19928,9584,10344,47,14,33
"합계",노원구,상계1동,15601,38275,18504,19771,38126,18451,19675,149,53,96
"합계",노원구,상계2동,8657,20143,9962,10181,19980,9889,10091,163,73,90
"합계",노원구,상계5동,10926,24077,11654,12423,23940,11607,12333,137,47,90
"합계",노원구,상계8동,9219,22598,10829,11769,22547,10816,11731,51,13,38
"합계",노원구,상계9동,8378,20529,9683,10846,20444,9656,10788,85,27,58
"합계",노원구,상계10동,7653,18731,8678,10053,18677,8656,10021,54,22,32
"합계",노원구,상계3.4동,11999,26268,13034,13234,26166,13003,13163,102,31,71
"합계",노원구,상계6.7동,13894,32774,15138,17636,32641,15088,17553,133,50,83
"합계",노원구,중계2.3동,15269,34326,15735,18591,34196,15690,18506,130,45,85
"합계",노원구,공릉1동,18190,37277,18173,19104,36610,17849,18761,667,324,343
"합계",은평구,소계,214711,477173,228024,249149,473307,226458,246849,3866,1566,2300
"합계",은평구,녹번동,17601,37164,17602,19562,36807,17434,19373,357,168,189
"합계",은평구,불광1동,17756,38777,18280,20497,38518,18167,20351,259,113,146
"합계",은평구,갈현1동,10787,22077,10762,11315,21876,10672,11204,201,90,111
"합계",은평구,갈현2동,12650,28547,13501,15046,28240,13379,14861,307,122,185
"합계",은평구,구산동,13325,32464,15884,16580,32207,15777,16430,257,107,150
"합계",은평구,대조동,14546,27204,12628,14576,26881,12497,14384,323,131,192
"합계",은평구,응암1동,14952,33287,15749,17538,32960,15617,17343,327,132,195
"합계",은평구,응암2동,11263,28107,13629,14478,27912,13547,14365,195,82,113
"합계",은평구,신사1동,11896,27231,13104,14127,27031,13035,13996,200,69,131
"합계",은평구,신사2동,8976,20330,10135,10195,20211,10097,10114,119,38,81
"합계",은평구,증산동,6768,15034,7331,7703,14909,7273,7636,125,58,67
"합계",은평구,수색동,5360,12752,6278,6474,12692,6254,6438,60,24,36
"합계",은평구,진관동,21526,56012,26285,29727,55798,26204,29594,214,81,133
"합계",은평구,불광2동,13989,27798,13430,14368,27545,13330,14215,253,100,153
"합계",은평구,응암3동,12494,24637,11968,12669,24336,11854,12482,301,114,187
"합계",은평구,역촌동,20822,45752,21458,24294,45384,21321,24063,368,137,231
"합계",서대문구,소계,143647,315659,149507,166152,304819,145694,159125,10840,3813,7027
"합계",서대문구,천연동,7749,17359,8248,9111,17121,8121,9000,238,127,111
"합계",서대문구,홍제1동,10409,23929,11196,12733,23676,11090,12586,253,106,147
"합계",서대문구,홍제3동,7046,15478,7470,8008,15336,7410,7926,142,60,82
"합계",서대문구,홍제2동,5805,13801,6514,7287,13703,6471,7232,98,43,55
"합계",서대문구,홍은1동,9731,22933,11051,11882,22697,10957,11740,236,94,142
"합계",서대문구,홍은2동,12316,27222,13078,14144,26496,12796,13700,726,282,444
"합계",서대문구,남가좌1동,5673,15627,7480,8147,15409,7384,8025,218,96,122
"합계",서대문구,남가좌2동,13344,30807,14772,16035,29780,14416,15364,1027,356,671
"합계",서대문구,북가좌1동,6908,18121,8720,9401,18009,8676,9333,112,44,68
"합계",서대문구,북가좌2동,14584,31893,15549,16344,31579,15429,16150,314,120,194
"합계",서대문구,충현동,10263,20760,9996,10764,20355,9807,10548,405,189,216
"합계",서대문구,북아현동,7209,16236,7766,8470,15930,7644,8286,306,122,184
"합계",서대문구,신촌동,14010,23759,9777,13982,19752,8756,10996,4007,1021,2986
"합계",서대문구,연희동,18600,37734,17890,19844,34976,16737,18239,2758,1153,1605
"합계",마포구,소계,179861,378686,177233,201453,368905,173504,195401,9781,3729,6052
"합계",마포구,용강동,9393,22038,10458,11580,21619,10236,11383,419,222,197
"합계",마포구,대흥동,8673,15848,7453,8395,14517,7023,7494,1331,430,901
"합계",마포구,염리동,7754,17657,8351,9306,16817,8093,8724,840,258,582
"합계",마포구,신수동,9976,22834,11089,11745,22489,10954,11535,345,135,210
"합계",마포구,서교동,15381,26549,11918,14631,24826,11383,13443,1723,535,1188
"합계",마포구,합정동,9508,17649,8154,9495,17311,8022,9289,338,132,206
"합계",마포구,망원1동,10325,20351,9519,10832,20041,9378,10663,310,141,169
"합계",마포구,망원2동,8464,18764,8807,9957,18567,8725,9842,197,82,115
"합계",마포구,연남동,8641,15899,7434,8465,14914,7052,7862,985,382,603
"합계",마포구,성산1동,9398,19246,9051,10195,18930,8912,10018,316,139,177
"합계",마포구,성산2동,19231,39909,17987,21922,39608,17886,21722,301,101,200
