"동별(1)",동별(2),동별(3),2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",동작구,상도4동,14095,28914,13997,14917,28577,13864,14713,337,133,204
"합계",동작구,사당1동,13492,23321,11108,12213,22856,10890,11966,465,218,247
"합계",동작구,사당3동,10472,24548,11893,12655,24344,11802,12542,204,91,113
"합계",동작구,사당4동,7155,14301,6851,7450,14141,6766,7375,160,85,75
"합계",동작구,사당5동,6621,14558,6995,7563,14467,6959,7508,91,36,55
"합계",동작구,대방동,17267,38338,18190,20148,37990,18017,19973,348,173,175
"합계",동작구,신대방1동,10225,24999,12057,12942,23142,11093,12049,1857,964,893
"합계",동작구,신대방2동,10076,21404,10219,11185,21189,10131,11058,215,88,127
"합계",동작구,흑석동,14065,33293,15965,17328,31485,15349,16136,1808,616,1192
"합계",동작구,노량진1동,16187,32298,16180,16118,31962,16056,15906,336,124,212
"합계",동작구,사당2동,12200,28147,13465,14682,27780,13304,14476,367,161,206
"합계",관악구,소계,276597,499449,250058,249391,485699,243991,241708,13750,6067,7683
"합계",관악구,보라매동,12941,24918,12254,12664,24412,12014,12398,506,240,266
"합계",관악구,청림동,6450,15214,7394,7820,15118,7358,7760,96,36,60
"합계",관악구,행운동,17656,29413,14214,15199,28931,14040,14891,482,174,308
"합계",관악구,낙성대동,11239,17434,8705,8729,16847,8462,8385,587,243,344
"합계",관악구,중앙동,9801,15487,7418,8069,15106,7266,7840,381,152,229
"합계",관악구,인헌동,14410,26154,12691,13463,25799,12553,13246,355,138,217
"합계",관악구,남현동,9683,18274,8795,9479,18085,8720,9365,189,75,114
"합계",관악구,서원동,14333,23278,11996,11282,22593,11696,10897,685,300,385
"합계",관악구,신원동,10967,18675,9403,9272,17840,9032,8808,835,371,464
"합계",관악구,서림동,14355,23689,12957,10732,23062,12713,10349,627,244,383
"합계",관악구,신사동,13955,24838,12445,12393,22560,11345,11215,2278,1100,1178
"합계",관악구,신림동,17985,23128,12137,10991,22365,11802,10563,763,335,428
"합계",관악구,난향동,6289,15420,7537,7883,15298,7475,7823,122,62,60
"합계",관악구,조원동,10774,18786,9476,9310,17338,8728,8610,1448,748,700
"합계",관악구,대학동,16164,24921,14721,10200,23385,14101,9284,1536,620,916
"합계",관악구,은천동,16056,33631,16355,17276,33156,16152,17004,475,203,272
"합계",관악구,성현동,12332,29394,14168,15226,29209,14091,15118,185,77,108
"합계",관악구,청룡동,23354,36482,17501,18981,35422,17083,18339,1060,418,642
"합계",관악구,난곡동,13116,27216,13638,13578,26759,13434,13325,457,204,253
"합계",관악구,삼성동,10453,22041,11028,11013,21902,10976,10926,139,52,87
"합계",관악구,미성동,14284,31056,15225,15831,30512,14950,15562,544,275,269
"합계",서초구,소계,170244,416167,198914,217253,412279,197034,215245,3888,1880,2008
"합계",서초구,서초1동,9378,20711,9985,10726,20524,9891,10633,187,94,93
"합계",서초구,서초2동,11390,26595,12710,13885,26237,12536,13701,358,174,184
"합계",서초구,서초3동,15260,32769,15731,17038,32437,15593,16844,332,138,194
"합계",서초구,서초4동,10896,31089,15145,15944,30833,15010,15823,256,135,121
"합계",서초구,잠원동,10739,26946,12954,13992,26771,12878,13893,175,76,99
"합계",서초구,반포본동,826,2000,952,1048,1969,936,1033,31,16,15
"합계",서초구,반포1동,15029,34815,16926,17889,34464,16766,17698,351,160,191
"합계",서초구,반포2동,4981,15801,7540,8261,15707,7498,8209,94,42,52
"합계",서초구,반포3동,7710,22245,10564,11681,22190,10541,11649,55,23,32
"합계",서초구,반포4동,7209,19807,9334,10473,19177,8985,10192,630,349,281
"합계",서초구,방배본동,8001,21083,9762,11321,20907,9665,11242,176,97,79
"합계",서초구,방배1동,7541,16980,7936,9044,16848,7878,8970,132,58,74
"합계",서초구,방배2동,8365,19474,9134,10340,19347,9073,10274,127,61,66
"합계",서초구,방배3동,7118,18861,9118,9743,18783,9079,9704,78,39,39
"합계",서초구,방배4동,9741,23817,10834,12983,23524,10703,12821,293,131,162
"합계",서초구,양재1동,17916,43408,20715,22693,43074,20554,22520,334,161,173
"합계",서초구,양재2동,10894,22144,11049,11095,21927,10949,10978,217,100,117
"합계",서초구,내곡동,7250,17622,8525,9097,17560,8499,9061,62,26,36
"합계",강남구,소계,234233,537800,257280,280520,533042,255047,277995,4758,2233,2525
"합계",강남구,신사동,7035,16213,7527,8686,15993,7415,8578,220,112,108
"합계",강남구,논현1동,14033,22702,10665,12037,22073,10381,11692,629,284,345
"합계",강남구,논현2동,11414,21331,9959,11372,21018,9821,11197,313,138,175
"합계",강남구,삼성1동,5483,13136,6494,6642,12878,6334,6544,258,160,98
"합계",강남구,삼성2동,13555,30692,14710,15982,30436,14560,15876,256,150,106
"합계",강남구,대치1동,7264,24199,12174,12025,24165,12151,12014,34,23,11
"합계",강남구,대치4동,10164,20079,9465,10614,19815,9364,10451,264,101,163
"합계",강남구,역삼1동,24243,36590,17692,18898,35587,17285,18302,1003,407,596
"합계",강남구,역삼2동,15507,36378,17061,19317,36072,16914,19158,306,147,159
"합계",강남구,도곡1동,8524,21539,10204,11335,21405,10133,11272,134,71,63
"합계",강남구,도곡2동,11664,33261,15461,17800,33163,15400,17763,98,61,37
"합계",강남구,개포1동,2572,6489,3155,3334,6470,3147,3323,19,8,11
"합계",강남구,개포4동,10024,23870,11547,12323,23710,11480,12230,160,67,93
"합계",강남구,일원본동,8058,23291,11496,11795,23260,11482,11778,31,14,17
"합계",강남구,일원1동,7390,15214,7438,7776,15073,7386,7687,141,52,89
"합계",강남구,일원2동,7471,17585,8501,9084,17518,8479,9039,67,22,45
"합계",강남구,수서동,7800,14870,6732,8138,14804,6708,8096,66,24,42
"합계",강남구,세곡동,17961,43396,20496,22900,43232,20426,22806,164,70,94
"합계",강남구,압구정동,10265,26446,12267,14179,26305,12187,14118,141,80,61
"합계",강남구,청담동,11272,25911,12108,13803,25684,11987,13697,227,121,106
"합계",강남구,대치2동,12851,36663,18572,18091,36507,18483,18024,156,89,67
"합계",강남구,개포2동,9683,27945,13556,14389,27874,13524,14350,71,32,39
"합계",송파구,소계,282417,663965,319895,344070,658338,317346,340992,5627,2549,3078
"합계",송파구,풍납1동,5985,13451,6575,6876,12869,6300,6569,582,275,307
"합계",송파구,풍납2동,10976,24953,11857,13096,24785,11777,13008,168,80,88
"합계",송파구,거여1동,5647,12614,6361,6253,12539,6335,6204,75,26,49
"합계",송파구,거여2동,8150,18806,9242,9564,18726,9210,9516,80,32,48
"합계",송파구,마천1동,8814,19071,9724,9347,18916,9664,9252,155,60,95
"합계",송파구,마천2동,8741,18866,9603,9263,18713,9536,9177,153,67,86
"합계",송파구,방이1동,6229,15766,7596,8170,15682,7555,8127,84,41,43
"합계",송파구,방이2동,15258,27015,12552,14463,26489,12304,14185,526,248,278
"합계",송파구,오륜동,5929,18079,8833,9246,18061,8824,9237,18,9,9
"합계",송파구,오금동,15640,38654,18741,19913,38446,18636,19810,208,105,103
"합계",송파구,송파1동,12261,24176,11290,12886,23845,11129,12716,331,161,170
"합계",송파구,송파2동,7209,19283,9298,9985,19130,9221,9909,153,77,76
"합계",송파구,석촌동,16917,32169,15325,16844,31584,15066,16518,585,259,326
"합계",송파구,삼전동,16080,30695,14395,16300,30325,14254,16071,370,141,229
"합계",송파구,가락본동,11833,26523,13142,13381,26252,13019,13233,271,123,148
"합계",송파구,가락1동,9786,27365,13248,14117,27265,13203,14062,100,45,55
"합계",송파구,가락2동,12429,32406,15902,16504,32229,15820,16409,177,82,95
"합계",송파구,문정1동,8494,20198,9994,10204,20012,9922,10090,186,72,114
"합계",송파구,문정2동,15731,29072,13346,15726,28871,13266,15605,201,80,121
"합계",송파구,잠실본동,15442,28439,13476,14963,27953,13264,14689,486,212,274
"합계",송파구,잠실4동,7277,21376,10259,11117,21318,10229,11089,58,30,28
"합계",송파구,잠실6동,5889,16905,8019,8886,16775,7945,8830,130,74,56
"합계",송파구,잠실7동,3383,9564,4462,5102,9550,4454,5096,14,8,6
"합계",송파구,잠실2동,11613,35145,16819,18326,35036,16756,18280,109,63,46
"합계",송파구,잠실3동,11912,34475,16413,18062,34338,16337,18001,137,76,61
"합계",송파구,장지동,12141,29693,14350,15343,29534,14278,15256,159,72,87
"합계",송파구,위례동,12651,39206,19073,20133,39095,19042,20053,111,31,80
"합계",강동구,소계,201613,466472,228682,237790,462664,227002,235662,3808,1680,2128
"합계",강동구,강일동,12857,32982,15801,17181,32794,15740,17054,188,61,127
"합계",강동구,명일1동,10117,25941,12621,13320,25856,12589,13267,85,32,53
"합계",강동구,명일2동,6511,17568,8603,8965,17524,8590,8934,44,13,31
"합계",강동구,고덕1동,8343,24417,12427,11990,24301,12344,11957,116,83,33
"합계",강동구,고덕2동,8781,22329,11259,11070,22177,11169,11008,152,90,62
"합계",강동구,암사2동,6353,15252,7385,7867,15197,7367,7830,55,18,37
"합계",강동구,암사3동,6267,17947,8789,9158,17898,8763,9135,49,26,23
"합계",강동구,천호1동,12917,26973,13200,13773,26738,13123,13615,235,77,158
"합계",강동구,천호3동,14368,27000,13132,13868,26564,12924,13640,436,208,228
"합계",강동구,성내1동,8352,20045,9665,10380,19915,9611,10304,130,54,76
"합계",강동구,성내2동,12810,24106,11901,12205,23534,11614,11920,572,287,285
"합계",강동구,성내3동,10670,23346,11436,11910,23079,11326,11753,267,110,157
"합계",강동구,둔촌1동,82,144,80,64,133,75,58,11,5,6
"합계",강동구,둔촌2동,10488,24785,12199,12586,24661,12147,12514,124,52,72
"합계",강동구,암사1동,15964,34782,17237,17545,34486,17114,17372,296,123,173
"합계",강동구,천호2동,17473,33753,16563,17190,33154,16280,16874,599,283,316
"합계",강동구,길동,21820,45973,22405,23568,45653,22299,23354,320,106,214
"합계",강동구,상일1동,13496,38929,19197,19732,38834,19154,19680,95,43,52
"합계",강동구,상일2동,3944,10200,4782,5418,10166,4773,5393,34,9,25
