"동별(1)",동별(2),동별(3),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",중구,신당5동,5354,10472,5055,5417,10148,4910,5238,324,145,179,5355,10492,5068,5424,10160,4920,5240,332,148,184,5334,10465,5053,5412,10130,4905,5225,335,148,187
"합계",중구,황학동,7398,13693,6442,7251,12812,6082,6730,881,360,521,7426,13719,6453,7266,12818,6081,6737,901,372,529,7433,13725,6458,7267,12818,6079,6739,907,379,528
"합계",중구,중림동,5739,12296,6099,6197,11975,5935,6040,321,164,157,5729,12288,6070,6218,11960,5909,6051,328,161,167,5734,12289,6063,6226,11957,5902,6055,332,161,171
"합계",중구,신당동,4785,9072,4344,4728,7573,3731,3842,1499,613,886,4774,9063,4330,4733,7567,3725,3842,1496,605,891,4748,9023,4312,4711,7512,3705,3807,1511,607,904
"합계",중구,다산동,6838,13926,6707,7219,13450,6509,6941,476,198,278,6829,13900,6693,7207,13419,6489,6930,481,204,277,6831,13901,6697,7204,13410,6487,6923,491,210,281
"합계",중구,약수동,7778,16533,7636,8897,16317,7530,8787,216,106,110,7780,16529,7634,8895,16315,7529,8786,214,105,109,7787,16517,7626,8891,16303,7521,8782,214,105,109
"합계",중구,청구동,6193,13395,6331,7064,13147,6213,6934,248,118,130,6183,13365,6315,7050,13125,6203,6922,240,112,128,6186,13354,6308,7046,13110,6193,6917,244,115,129
"합계",중구,동화동,3982,10184,4882,5302,10002,4796,5206,182,86,96,3977,10194,4887,5307,10008,4800,5208,186,87,99,3977,10163,4892,5271,9984,4806,5178,179,86,93
"합계",용산구,소계,109735,232482,112608,119874,217756,104640,113116,14726,7968,6758,109712,232311,112532,119779,217611,104580,113031,14700,7952,6748,109717,232258,112506,119752,217438,104495,112943,14820,8011,6809
"합계",용산구,후암동,8312,16740,8137,8603,16239,7899,8340,501,238,263,8294,16697,8114,8583,16201,7876,8325,496,238,258,8284,16663,8099,8564,16172,7861,8311,491,238,253
"합계",용산구,용산2가동,5081,10316,5040,5276,9008,4348,4660,1308,692,616,5085,10299,5022,5277,9010,4340,4670,1289,682,607,5092,10306,5034,5272,9006,4348,4658,1300,686,614
"합계",용산구,남영동,5027,7552,4551,3001,7072,4297,2775,480,254,226,4994,7507,4520,2987,7023,4269,2754,484,251,233,4973,7493,4496,2997,6989,4241,2748,504,255,249
"합계",용산구,원효로2동,6143,13779,6478,7301,13668,6430,7238,111,48,63,6170,13813,6497,7316,13705,6452,7253,108,45,63,6181,13800,6477,7323,13690,6432,7258,110,45,65
"합계",용산구,효창동,4721,10902,5177,5725,10764,5113,5651,138,64,74,4724,10895,5166,5729,10754,5104,5650,141,62,79,4734,10910,5179,5731,10769,5117,5652,141,62,79
"합계",용산구,용문동,5321,11613,5553,6060,11498,5510,5988,115,43,72,5318,11599,5542,6057,11483,5500,5983,116,42,74,5319,11579,5537,6042,11464,5497,5967,115,40,75
"합계",용산구,이촌1동,9149,25567,12060,13507,24960,11721,13239,607,339,268,9152,25592,12079,13513,24969,11732,13237,623,347,276,9156,25636,12094,13542,25015,11747,13268,621,347,274
"합계",용산구,이촌2동,3598,8036,3752,4284,7966,3726,4240,70,26,44,3606,8043,3761,4282,7973,3735,4238,70,26,44,3598,8051,3756,4295,7979,3729,4250,72,27,45
"합계",용산구,이태원1동,3473,7965,4203,3762,6136,3031,3105,1829,1172,657,3479,7961,4216,3745,6125,3029,3096,1836,1187,649,3477,7968,4234,3734,6108,3031,3077,1860,1203,657
"합계",용산구,이태원2동,4816,10380,4920,5460,8660,4036,4624,1720,884,836,4819,10381,4925,5456,8670,4045,4625,1711,880,831,4826,10371,4922,5449,8667,4050,4617,1704,872,832
"합계",용산구,서빙고동,5103,13424,6491,6933,12544,6041,6503,880,450,430,5104,13410,6481,6929,12536,6032,6504,874,449,425,5102,13408,6493,6915,12527,6038,6489,881,455,426
"합계",용산구,보광동,7025,13961,7212,6749,12618,6309,6309,1343,903,440,7006,13930,7187,6743,12583,6286,6297,1347,901,446,6992,13870,7172,6698,12523,6267,6256,1347,905,442
"합계",용산구,청파동,11126,19856,9096,10760,19079,8877,10202,777,219,558,11114,19833,9097,10736,19055,8870,10185,778,227,551,11149,19860,9090,10770,19070,8870,10200,790,220,570
"합계",용산구,원효로1동,9256,17781,8318,9463,17149,7974,9175,632,344,288,9283,17806,8338,9468,17168,7995,9173,638,343,295,9293,17789,8329,9460,17139,7975,9164,650,354,296
"합계",용산구,한강로동,11315,22769,10879,11890,21109,10006,11103,1660,873,787,11344,22777,10887,11890,21149,10033,11116,1628,854,774,11326,22799,10899,11900,21135,10024,11111,1664,875,789
"합계",용산구,한남동,10269,21841,10741,11100,19286,9322,9964,2555,1419,1136,10220,21768,10700,11068,19207,9282,9925,2561,1418,1143,10215,21755,10695,11060,19185,9268,9917,2570,1427,1143
"합계",성동구,소계,133513,287240,139171,148069,280240,136233,144007,7000,2938,4062,133503,287261,139093,148168,279980,136059,143921,7281,3034,4247,133551,286951,138945,148006,279760,135931,143829,7191,3014,4177
"합계",성동구,왕십리2동,7397,16651,7995,8656,16284,7838,8446,367,157,210,7386,16646,7990,8656,16251,7820,8431,395,170,225,7368,16630,7983,8647,16236,7816,8420,394,167,227
"합계",성동구,마장동,10935,22598,11086,11512,21959,10832,11127,639,254,385,10940,22620,11094,11526,21971,10838,11133,649,256,393,10936,22553,11069,11484,21914,10817,11097,639,252,387
"합계",성동구,사근동,8297,14020,7041,6979,12121,6353,5768,1899,688,1211,8296,14199,7099,7100,12100,6345,5755,2099,754,1345,8310,14134,7083,7051,12101,6341,5760,2033,742,1291
"합계",성동구,행당1동,6469,14041,6736,7305,13733,6614,7119,308,122,186,6453,13997,6698,7299,13700,6585,7115,297,113,184,6469,14043,6716,7327,13750,6602,7148,293,114,179
"합계",성동구,행당2동,9242,23079,10751,12328,22988,10716,12272,91,35,56,9245,23084,10745,12339,22990,10709,12281,94,36,58,9257,23084,10748,12336,22988,10707,12281,96,41,55
"합계",성동구,응봉동,5933,15007,7130,7877,14953,7106,7847,54,24,30,5937,15008,7137,7871,14951,7110,7841,57,27,30,5949,15018,7131,7887,14959,7104,7855,59,27,32
"합계",성동구,금호1가동,6539,15065,7182,7883,14982,7147,7835,83,35,48,6548,15073,7177,7896,14989,7142,7847,84,35,49,6538,15033,7150,7883,14947,7114,7833,86,36,50
