"동별(1)",동별(2),동별(3),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",성북구,정릉2동,9895,22893,11025,11868,22657,10958,11699,236,67,169,9881,22873,11007,11866,22627,10934,11693,246,73,173,9924,22927,11031,11896,22675,10953,11722,252,78,174
"합계",성북구,정릉3동,8283,16638,8156,8482,15176,7552,7624,1462,604,858,8264,16723,8191,8532,15126,7540,7586,1597,651,946,8290,16739,8208,8531,15154,7553,7601,1585,655,930
"합계",성북구,정릉4동,10816,24842,11806,13036,24417,11688,12729,425,118,307,10807,24839,11785,13054,24383,11664,12719,456,121,335,10806,24801,11776,13025,24338,11652,12686,463,124,339
"합계",성북구,길음1동,12433,34896,16512,18384,34745,16452,18293,151,60,91,12436,34907,16503,18404,34756,16443,18313,151,60,91,12449,34947,16523,18424,34801,16463,18338,146,60,86
"합계",성북구,길음2동,8642,21822,10471,11351,21674,10400,11274,148,71,77,8688,21882,10499,11383,21736,10429,11307,146,70,76,8746,21984,10540,11444,21844,10475,11369,140,65,75
"합계",성북구,월곡1동,10859,26152,12573,13579,25925,12497,13428,227,76,151,10850,26107,12558,13549,25887,12486,13401,220,72,148,10840,26079,12546,13533,25859,12472,13387,220,74,146
"합계",성북구,월곡2동,9742,19785,9400,10385,19188,9162,10026,597,238,359,9754,19774,9398,10376,19181,9159,10022,593,239,354,9756,19757,9373,10384,19169,9135,10034,588,238,350
"합계",성북구,장위1동,10695,24006,11660,12346,23798,11583,12215,208,77,131,10698,24006,11654,12352,23791,11571,12220,215,83,132,10680,23951,11626,12325,23732,11540,12192,219,86,133
"합계",성북구,장위2동,6653,13595,6656,6939,13363,6564,6799,232,92,140,6635,13554,6625,6929,13318,6533,6785,236,92,144,6631,13531,6603,6928,13286,6507,6779,245,96,149
"합계",성북구,장위3동,6524,15920,7800,8120,15772,7731,8041,148,69,79,6529,15932,7804,8128,15786,7736,8050,146,68,78,6530,15930,7812,8118,15788,7748,8040,142,64,78
"합계",성북구,성북동,8180,16809,7796,9013,16184,7534,8650,625,262,363,8177,16793,7780,9013,16156,7507,8649,637,273,364,8155,16734,7751,8983,16091,7474,8617,643,277,366
"합계",성북구,삼선동,11525,23101,10875,12226,22473,10688,11785,628,187,441,11533,23108,10858,12250,22489,10675,11814,619,183,436,11521,23085,10847,12238,22466,10662,11804,619,185,434
"합계",성북구,동선동,9654,15954,6506,9448,15079,6240,8839,875,266,609,9609,15914,6471,9443,15027,6207,8820,887,264,623,9612,15934,6475,9459,15030,6206,8824,904,269,635
"합계",성북구,종암동,17194,40050,19558,20492,38095,18850,19245,1955,708,1247,17183,40020,19541,20479,38054,18818,19236,1966,723,1243,17170,39998,19517,20481,38048,18794,19254,1950,723,1227
"합계",성북구,석관동,16807,35250,17361,17889,34380,16969,17411,870,392,478,16785,35174,17315,17859,34286,16919,17367,888,396,492,16766,35142,17302,17840,34245,16903,17342,897,399,498
"합계",강북구,소계,144557,296934,143493,153441,292762,142028,150734,4172,1465,2707,144559,296635,143330,153305,292383,141837,150546,4252,1493,2759,144577,296280,143096,153184,291959,141577,150382,4321,1519,2802
"합계",강북구,번1동,10439,18592,9255,9337,18091,9081,9010,501,174,327,10416,18549,9230,9319,18034,9047,8987,515,183,332,10419,18535,9202,9333,18003,9014,8989,532,188,344
"합계",강북구,번2동,7495,15295,7369,7926,15210,7343,7867,85,26,59,7488,15276,7344,7932,15190,7318,7872,86,26,60,7471,15227,7308,7919,15142,7282,7860,85,26,59
"합계",강북구,번3동,7420,16315,7600,8715,16251,7586,8665,64,14,50,7539,16431,7649,8782,16364,7632,8732,67,17,50,7626,16528,7694,8834,16462,7678,8784,66,16,50
"합계",강북구,수유1동,10494,20491,10019,10472,20230,9929,10301,261,90,171,10491,20463,9995,10468,20195,9903,10292,268,92,176,10477,20424,9961,10463,20146,9865,10281,278,96,182
"합계",강북구,수유2동,9869,20986,9942,11044,20823,9893,10930,163,49,114,9869,20973,9931,11042,20803,9882,10921,170,49,121,9863,20971,9932,11039,20797,9882,10915,174,50,124
"합계",강북구,수유3동,13487,23882,11633,12249,23065,11372,11693,817,261,556,13474,23852,11606,12246,23028,11345,11683,824,261,563,13498,23832,11581,12251,23014,11328,11686,818,253,565
"합계",강북구,삼양동,10916,23011,11428,11583,22819,11363,11456,192,65,127,10903,22976,11416,11560,22787,11351,11436,189,65,124,10899,22938,11396,11542,22746,11327,11419,192,69,123
"합계",강북구,미아동,11700,21692,10328,11364,21136,10134,11002,556,194,362,11710,21684,10319,11365,21107,10118,10989,577,201,376,11716,21688,10307,11381,21095,10096,10999,593,211,382
"합계",강북구,송중동,14000,29774,14306,15468,29146,14052,15094,628,254,374,13986,29719,14288,15431,29088,14037,15051,631,251,380,13943,29650,14252,15398,28997,13992,15005,653,260,393
"합계",강북구,송천동,13331,25875,12774,13101,25459,12607,12852,416,167,249,13301,25801,12745,13056,25377,12573,12804,424,172,252,13256,25656,12686,12970,25229,12510,12719,427,176,251
"합계",강북구,삼각산동,11508,30887,14810,16077,30778,14762,16016,109,48,61,11511,30872,14799,16073,30761,14751,16010,111,48,63,11525,30846,14798,16048,30735,14750,15985,111,48,63
"합계",강북구,우이동,9595,20318,9723,10595,20152,9667,10485,166,56,110,9603,20296,9716,10580,20124,9656,10468,172,60,112,9607,20269,9699,10570,20098,9642,10456,171,57,114
"합계",강북구,인수동,14303,29816,14306,15510,29602,14239,15363,214,67,147,14268,29743,14292,15451,29525,14224,15301,218,68,150,14277,29716,14280,15436,29495,14211,15284,221,69,152
"합계",도봉구,소계,138376,312858,151589,161269,310509,150806,159703,2349,783,1566,138314,312362,151319,161043,310023,150535,159488,2339,784,1555,138289,311994,151124,160870,309622,150317,159305,2372,807,1565
"합계",도봉구,쌍문1동,9458,21421,10119,11302,20951,10045,10906,470,74,396,9455,21350,10084,11266,20912,10011,10901,438,73,365,9458,21338,10079,11259,20906,10004,10902,432,75,357
"합계",도봉구,쌍문2동,8544,18387,8766,9621,18244,8695,9549,143,71,72,8555,18371,8761,9610,18231,8691,9540,140,70,70,8556,18354,8740,9614,18210,8671,9539,144,69,75
"합계",도봉구,쌍문3동,8252,16902,8109,8793,16746,8053,8693,156,56,100,8242,16845,8076,8769,16681,8021,8660,164,55,109,8241,16839,8067,8772,16667,8011,8656,172,56,116
"합계",도봉구,쌍문4동,7098,18317,8641,9676,18268,8635,9633,49,6,43,7098,18313,8623,9690,18262,8617,9645,51,6,45,7080,18258,8590,9668,18204,8583,9621,54,7,47
"합계",도봉구,방학1동,12967,28345,14027,14318,28102,13934,14168,243,93,150,12956,28304,14000,14304,28059,13907,14152,245,93,152,12966,28270,13974,14296,28029,13883,14146,241,91,150
"합계",도봉구,방학2동,9255,19185,9682,9503,18991,9596,9395,194,86,108,9244,19139,9658,9481,18943,9571,9372,196,87,109,9230,19074,9638,9436,18882,9552,9330,192,86,106
"합계",도봉구,방학3동,9929,26471,12798,13673,26404,12779,13625,67,19,48,9931,26451,12790,13661,26385,12771,13614,66,19,47,9930,26412,12769,13643,26344,12749,13595,68,20,48
"합계",도봉구,창1동,10982,24417,11619,12798,24277,11567,12710,140,52,88,10984,24387,11596,12791,24239,11542,12697,148,54,94,10978,24376,11612,12764,24221,11553,12668,155,59,96
"합계",도봉구,창2동,12582,28832,13970,14862,28537,13859,14678,295,111,184,12582,28770,13948,14822,28482,13841,14641,288,107,181,12581,28743,13932,14811,28458,13824,14634,285,108,177
"합계",도봉구,창3동,6458,13528,6730,6798,13438,6699,6739,90,31,59,6453,13490,6712,6778,13392,6677,6715,98,35,63,6458,13494,6702,6792,13392,6665,6727,102,37,65
"합계",도봉구,창4동,10552,26038,12474,13564,25933,12434,13499,105,40,65,10549,26023,12471,13552,25919,12431,13488,104,40,64,10550,26029,12481,13548,25925,12441,13484,104,40,64
"합계",도봉구,창5동,10286,24262,11587,12675,24149,11553,12596,113,34,79,10281,24211,11567,12644,24090,11530,12560,121,37,84,10273,24173,11532,12641,24050,11492,12558,123,40,83
"합계",도봉구,도봉1동,10289,20541,10255,10286,20388,10199,10189,153,56,97,10261,20482,10225,10257,20335,10171,10164,147,54,93,10260,20445,10210,10235,20295,10154,10141,150,56,94
"합계",도봉구,도봉2동,11724,26212,12812,13400,26081,12758,13323,131,54,77,11723,26226,12808,13418,26093,12754,13339,133,54,79,11728,26189,12798,13391,26039,12735,13304,150,63,87
"합계",노원구,소계,218341,506989,243433,263556,502515,241532,260983,4474,1901,2573,218262,506359,243092,263267,501838,241168,260670,4521,1924,2597,218187,505780,242787,262993,501237,240844,260393,4543,1943,2600
"합계",노원구,월계1동,10091,21535,11058,10477,20886,10735,10151,649,323,326,10059,21519,11040,10479,20842,10710,10132,677,330,347,10053,21497,11025,10472,20822,10691,10131,675,334,341
"합계",노원구,월계2동,11800,26060,12510,13550,25918,12457,13461,142,53,89,11794,26023,12481,13542,25882,12428,13454,141,53,88,11789,26007,12472,13535,25859,12418,13441,148,54,94
"합계",노원구,월계3동,12893,29193,13948,15245,29022,13884,15138,171,64,107,12897,29199,13950,15249,29030,13889,15141,169,61,108,12893,29158,13940,15218,28992,13880,15112,166,60,106
"합계",노원구,공릉2동,17835,42672,20724,21948,41817,20387,21430,855,337,518,17815,42636,20694,21942,41777,20349,21428,859,345,514,17810,42637,20681,21956,41781,20340,21441,856,341,515
"합계",노원구,하계1동,12642,27539,13213,14326,26958,12948,14010,581,265,316,12662,27528,13203,14325,26942,12936,14006,586,267,319,12618,27411,13135,14276,26829,12869,13960,582,266,316
"합계",노원구,하계2동,8188,21525,10218,11307,21472,10196,11276,53,22,31,8176,21499,10203,11296,21445,10181,11264,54,22,32,8168,21455,10186,11269,21401,10164,11237,54,22,32
"합계",노원구,중계본동,8193,23314,11320,11994,23257,11301,11956,57,19,38,8173,23241,11282,11959,23182,11261,11921,59,21,38,8174,23218,11258,11960,23159,11237,11922,59,21,38
"합계",노원구,중계1동,8915,26504,12914,13590,26405,12880,13525,99,34,65,8921,26525,12936,13589,26427,12902,13525,98,34,64,8920,26496,12924,13572,26395,12888,13507,101,36,65
"합계",노원구,중계4동,8234,19522,9378,10144,19419,9310,10109,103,68,35,8241,19515,9373,10142,19412,9305,10107,103,68,35,8241,19501,9364,10137,19389,9286,10103,112,78,34
"합계",노원구,상계1동,15663,37724,18188,19536,37569,18135,19434,155,53,102,15643,37623,18122,19501,37470,18069,19401,153,53,100,15637,37561,18087,19474,37408,18034,19374,153,53,100
"합계",노원구,상계2동,8602,19623,9647,9976,19462,9580,9882,161,67,94,8610,19587,9634,9953,19427,9566,9861,160,68,92,8617,19582,9626,9956,19419,9557,9862,163,69,94
"합계",노원구,상계5동,10944,23568,11394,12174,23430,11347,12083,138,47,91,10962,23551,11387,12164,23413,11341,12072,138,46,92,10948,23498,11373,12125,23355,11326,12029,143,47,96
"합계",노원구,상계8동,9143,22225,10585,11640,22174,10572,11602,51,13,38,9144,22197,10583,11614,22148,10571,11577,49,12,37,9138,22155,10567,11588,22106,10555,11551,49,12,37
"합계",노원구,상계9동,8321,19969,9333,10636,19879,9303,10576,90,30,60,8337,19975,9335,10640,19885,9306,10579,90,29,61,8340,19950,9331,10619,19860,9301,10559,90,30,60
"합계",노원구,상계10동,7630,18374,8442,9932,18315,8419,9896,59,23,36,7630,18349,8446,9903,18289,8423,9866,60,23,37,7649,18378,8466,9912,18313,8442,9871,65,24,41
"합계",노원구,상계3.4동,11606,25187,12551,12636,25074,12514,12560,113,37,76,11605,25169,12537,12632,25050,12499,12551,119,38,81,11603,25146,12513,12633,25024,12473,12551,122,40,82
"합계",노원구,상계6.7동,13900,32036,14773,17263,31901,14725,17176,135,48,87,13901,31990,14757,17233,31849,14706,17143,141,51,90,13909,31973,14744,17229,31827,14690,17137,146,54,92
"합계",노원구,중계2.3동,15093,33274,15210,18064,33143,15169,17974,131,41,90,15079,33198,15174,18024,33067,15133,17934,131,41,90,15073,33153,15166,17987,33023,15125,17898,130,41,89
"합계",노원구,공릉1동,18648,37145,18027,19118,36414,17670,18744,731,357,374,18613,37035,17955,19080,36301,17593,18708,734,362,372,18607,37004,17929,19075,36275,17568,18707,729,361,368
"합계",은평구,소계,213989,468766,222911,245855,464871,221350,243521,3895,1561,2334,213907,468157,222479,245678,464217,220904,243313,3940,1575,2365,213830,467582,222130,245452,463612,220559,243053,3970,1571,2399
"합계",은평구,녹번동,17652,36747,17278,19469,36375,17110,19265,372,168,204,17654,36740,17263,19477,36363,17093,19270,377,170,207,17668,36740,17264,19476,36358,17093,19265,382,171,211
"합계",은평구,불광1동,17785,38105,17903,20202,37837,17793,20044,268,110,158,17766,38054,17855,20199,37780,17744,20036,274,111,163,17755,38032,17830,20202,37765,17723,20042,267,107,160
"합계",은평구,갈현1동,7707,15401,7473,7928,15249,7405,7844,152,68,84,7633,15233,7406,7827,15080,7340,7740,153,66,87,7566,15099,7338,7761,14942,7270,7672,157,68,89
"합계",은평구,갈현2동,12631,28106,13258,14848,27842,13157,14685,264,101,163,12589,28012,13204,14808,27752,13103,14649,260,101,159,12576,27981,13197,14784,27726,13098,14628,255,99,156
"합계",은평구,구산동,13495,31967,15576,16391,31758,15488,16270,209,88,121,13522,31947,15537,16410,31731,15448,16283,216,89,127,13533,31911,15498,16413,31690,15408,16282,221,90,131
"합계",은평구,대조동,15138,27657,12775,14882,27311,12642,14669,346,133,213,15162,27656,12777,14879,27312,12646,14666,344,131,213,15137,27564,12736,14828,27212,12602,14610,352,134,218
"합계",은평구,응암1동,15100,33266,15608,17658,32945,15482,17463,321,126,195,15120,33263,15584,17679,32942,15457,17485,321,127,194,15104,33226,15561,17665,32907,15437,17470,319,124,195
"합계",은평구,응암2동,11222,27917,13485,14432,27717,13397,14320,200,88,112,11211,27880,13458,14422,27681,13372,14309,199,86,113,11218,27878,13469,14409,27680,13382,14298,198,87,111
"합계",은평구,신사1동,12018,26945,12917,14028,26741,12847,13894,204,70,134,12034,26936,12912,14024,26733,12843,13890,203,69,134,12036,26864,12865,13999,26661,12797,13864,203,68,135
"합계",은평구,신사2동,8757,19369,9610,9759,19240,9569,9671,129,41,88,8761,19350,9590,9760,19208,9546,9662,142,44,98,8757,19332,9576,9756,19186,9532,9654,146,44,102
"합계",은평구,증산동,8032,18678,9100,9578,18534,9031,9503,144,69,75,8027,18646,9076,9570,18495,9006,9489,151,70,81,8023,18634,9055,9579,18476,8982,9494,158,73,85
"합계",은평구,수색동,5560,13195,6419,6776,13118,6388,6730,77,31,46,5583,13229,6441,6788,13149,6409,6740,80,32,48,5591,13242,6453,6789,13161,6420,6741,81,33,48
"합계",은평구,진관동,21429,55043,25676,29367,54832,25599,29233,211,77,134,21413,54991,25646,29345,54782,25569,29213,209,77,132,21415,54958,25614,29344,54743,25536,29207,215,78,137
"합계",은평구,불광2동,14111,27331,13158,14173,27096,13070,14026,235,88,147,14111,27321,13157,14164,27083,13066,14017,238,91,147,14110,27280,13125,14155,27045,13039,14006,235,86,149
"합계",은평구,응암3동,12567,24145,11620,12525,23786,11473,12313,359,147,212,12546,24072,11578,12494,23706,11426,12280,366,152,214,12556,24054,11559,12495,23680,11405,12275,374,154,220
"합계",은평구,역촌동,20785,44894,21055,23839,44490,20899,23591,404,156,248,20775,44827,20995,23832,44420,20836,23584,407,159,248,20785,44787,20990,23797,44380,20835,23545,407,155,252
"합계",서대문구,소계,147146,321966,151089,170877,308437,146732,161705,13529,4357,9172,147183,322470,151126,171344,308338,146684,161654,14132,4442,9690,147197,322360,151016,171344,308208,146572,161636,14152,4444,9708
"합계",서대문구,천연동,7626,16895,7986,8909,16691,7877,8814,204,109,95,7635,16917,8002,8915,16713,7892,8821,204,110,94,7643,16908,7980,8928,16708,7871,8837,200,109,91
"합계",서대문구,홍제1동,11014,25072,11700,13372,24818,11600,13218,254,100,154,11040,25103,11715,13388,24850,11613,13237,253,102,151,11036,25090,11709,13381,24840,11606,13234,250,103,147
"합계",서대문구,홍제3동,7999,17894,8574,9320,17724,8502,9222,170,72,98,8000,17907,8580,9327,17739,8508,9231,168,72,96,8008,17929,8583,9346,17760,8511,9249,169,72,97
"합계",서대문구,홍제2동,5761,13388,6255,7133,13284,6210,7074,104,45,59,5769,13357,6235,7122,13254,6191,7063,103,44,59,5776,13342,6226,7116,13243,6184,7059,99,42,57
"합계",서대문구,홍은1동,9790,22659,10924,11735,22426,10834,11592,233,90,143,9790,22655,10914,11741,22427,10825,11602,228,89,139,9772,22632,10904,11728,22403,10815,11588,229,89,140
"합계",서대문구,홍은2동,13216,29474,14069,15405,28700,13788,14912,774,281,493,13235,29527,14096,15431,28738,13810,14928,789,286,503,13231,29550,14091,15459,28759,13808,14951,791,283,508
"합계",서대문구,남가좌1동,6159,16968,8123,8845,16736,8025,8711,232,98,134,6160,16945,8114,8831,16711,8016,8695,234,98,136,6168,16971,8105,8866,16729,8006,8723,242,99,143
"합계",서대문구,남가좌2동,13385,30589,14571,16018,29332,14157,15175,1257,414,843,13349,30530,14543,15987,29252,14130,15122,1278,413,865,13372,30523,14547,15976,29262,14136,15126,1261,411,850
"합계",서대문구,북가좌1동,6848,17815,8516,9299,17721,8481,9240,94,35,59,6855,17846,8532,9314,17749,8496,9253,97,36,61,6835,17799,8513,9286,17702,8478,9224,97,35,62
"합계",서대문구,북가좌2동,14579,31228,15141,16087,30907,15024,15883,321,117,204,14560,31137,15106,16031,30816,14987,15829,321,119,202,14568,31143,15101,16042,30815,14981,15834,328,120,208
"합계",서대문구,충현동,10081,20279,9726,10553,19817,9520,10297,462,206,256,10087,20296,9740,10556,19816,9523,10293,480,217,263,10105,20295,9756,10539,19815,9541,10274,480,215,265
"합계",서대문구,북아현동,7074,15833,7562,8271,15549,7445,8104,284,117,167,7077,15847,7568,8279,15544,7443,8101,303,125,178,7086,15831,7562,8269,15536,7442,8094,295,120,175
"합계",서대문구,신촌동,14890,26455,10288,16167,20392,8876,11516,6063,1412,4651,14908,26984,10338,16646,20409,8867,11542,6575,1471,5104,14898,26981,10322,16659,20365,8833,11532,6616,1489,5127
"합계",서대문구,연희동,18724,37417,17654,19763,34340,16393,17947,3077,1261,1816,18718,37419,17643,19776,34320,16383,17937,3099,1260,1839,18699,37366,17617,19749,34271,16360,17911,3095,1257,1838
"합계",마포구,소계,181034,376542,175162,201380,365570,171215,194355,10972,3947,7025,180976,376615,175096,201519,365287,171058,194229,11328,4038,7290,181093,376612,174967,201645,365283,170922,194361,11329,4045,7284
"합계",마포구,용강동,9265,21682,10233,11449,21266,10035,11231,416,198,218,9268,21706,10239,11467,21278,10040,11238,428,199,229,9282,21723,10250,11473,21291,10049,11242,432,201,231
"합계",마포구,대흥동,8823,16154,7568,8586,14526,7055,7471,1628,513,1115,8801,16235,7597,8638,14480,7048,7432,1755,549,1206,8794,16236,7591,8645,14475,7044,7431,1761,547,1214
"합계",마포구,염리동,7803,17695,8278,9417,16783,8025,8758,912,253,659,7786,17673,8267,9406,16760,8011,8749,913,256,657,7796,17702,8274,9428,16795,8021,8774,907,253,654
"합계",마포구,신수동,10010,22585,10988,11597,22219,10848,11371,366,140,226,9991,22579,10976,11603,22195,10830,11365,384,146,238,10002,22549,10954,11595,22173,10809,11364,376,145,231
"합계",마포구,서교동,15385,26653,11763,14890,24420,11099,13321,2233,664,1569,15366,26703,11749,14954,24391,11071,13320,2312,678,1634,15379,26635,11746,14889,24352,11073,13279,2283,673,1610
"합계",마포구,합정동,9262,16955,7772,9183,16612,7641,8971,343,131,212,9247,16922,7763,9159,16569,7623,8946,353,140,213,9245,16905,7754,9151,16548,7613,8935,357,141,216
"합계",마포구,망원1동,10193,19684,9190,10494,19363,9054,10309,321,136,185,10200,19651,9160,10491,19334,9030,10304,317,130,187,10176,19615,9112,10503,19291,8979,10312,324,133,191
"합계",마포구,망원2동,8398,18378,8554,9824,18187,8489,9698,191,65,126,8396,18376,8551,9825,18170,8477,9693,206,74,132,8393,18365,8541,9824,18156,8466,9690,209,75,134
"합계",마포구,연남동,8484,15481,7240,8241,14504,6858,7646,977,382,595,8460,15439,7229,8210,14455,6848,7607,984,381,603,8456,15427,7197,8230,14432,6814,7618,995,383,612
"합계",마포구,성산1동,9426,19003,8881,10122,18656,8734,9922,347,147,200,9426,18982,8854,10128,18626,8705,9921,356,149,207,9456,19021,8875,10146,18656,8722,9934,365,153,212
"합계",마포구,성산2동,19524,39416,17528,21888,39094,17433,21661,322,95,227,19505,39336,17488,21848,39014,17393,21621,322,95,227,19504,39313,17474,21839,38987,17375,21612,326,99,227
"합계",마포구,상암동,12701,30679,14459,16220,29974,14139,15835,705,320,385,12720,30705,14462,16243,29976,14135,15841,729,327,402,12729,30673,14419,16254,29957,14100,15857,716,319,397
"합계",마포구,도화동,9321,21005,10004,11001,20761,9890,10871,244,114,130,9299,20921,9951,10970,20673,9834,10839,248,117,131,9309,20930,9927,11003,20679,9808,10871,251,119,132
"합계",마포구,서강동,12162,25535,12053,13482,24691,11787,12904,844,266,578,12147,25523,12019,13504,24650,11754,12896,873,265,608,12143,25522,11999,13523,24646,11731,12915,876,268,608
"합계",마포구,공덕동,18649,37393,17482,19911,36764,17174,19590,629,308,321,18651,37382,17483,19899,36740,17169,19571,642,314,328,18667,37382,17480,19902,36741,17166,19575,641,314,327
"합계",마포구,아현동,11628,28244,13169,15075,27750,12954,14796,494,215,279,11713,28482,13308,15174,27976,13090,14886,506,218,288,11762,28614,13374,15240,28104,13152,14952,510,222,288
"합계",양천구,소계,181072,442345,215983,226362,439219,214703,224516,3126,1280,1846,181057,441987,215739,226248,438848,214455,224393,3139,1284,1855,181169,441802,215622,226180,438641,214331,224310,3161,1291,1870
"합계",양천구,목1동,10322,30432,14638,15794,30285,14564,15721,147,74,73,10324,30392,14600,15792,30245,14525,15720,147,75,72,10317,30366,14582,15784,30218,14506,15712,148,76,72
"합계",양천구,목2동,13356,29430,14232,15198,29213,14148,15065,217,84,133,13336,29336,14167,15169,29119,14083,15036,217,84,133,13354,29304,14138,15166,29090,14056,15034,214,82,132
"합계",양천구,목3동,10080,21587,10282,11305,21446,10223,11223,141,59,82,10081,21571,10266,11305,21426,10204,11222,145,62,83,10086,21555,10267,11288,21408,10204,11204,147,63,84
"합계",양천구,목4동,10033,24810,12122,12688,24649,12059,12590,161,63,98,10016,24798,12113,12685,24635,12051,12584,163,62,101,10035,24829,12127,12702,24664,12064,12600,165,63,102
"합계",양천구,신월1동,10243,20207,10305,9902,19943,10209,9734,264,96,168,10244,20171,10279,9892,19902,10178,9724,269,101,168,10209,20085,10249,9836,19820,10149,9671,265,100,165
"합계",양천구,신월2동,8478,20523,10016,10507,20368,9955,10413,155,61,94,8531,20606,10056,10550,20451,9996,10455,155,60,95,8626,20871,10161,10710,20713,10100,10613,158,61,97
"합계",양천구,신월3동,7835,14839,7789,7050,14654,7701,6953,185,88,97,7825,14809,7760,7049,14625,7673,6952,184,87,97,7820,14787,7760,7027,14605,7676,6929,182,84,98
"합계",양천구,신월4동,6858,17666,8572,9094,17569,8545,9024,97,27,70,6855,17677,8572,9105,17576,8545,9031,101,27,74,6858,17649,8557,9092,17543,8527,9016,106,30,76
"합계",양천구,신월5동,6426,14381,7119,7262,14263,7074,7189,118,45,73,6406,14333,7098,7235,14214,7055,7159,119,43,76,6404,14302,7082,7220,14179,7038,7141,123,44,79
"합계",양천구,신월6동,5369,13934,6793,7141,13874,6770,7104,60,23,37,5372,13941,6810,7131,13883,6787,7096,58,23,35,5381,13953,6808,7145,13893,6783,7110,60,25,35
"합계",양천구,신월7동,9005,19014,9246,9768,18880,9210,9670,134,36,98,8986,18971,9231,9740,18837,9194,9643,134,37,97,8981,18943,9211,9732,18807,9173,9634,136,38,98
"합계",양천구,신정1동,6975,19915,9667,10248,19813,9618,10195,102,49,53,6983,19939,9681,10258,19836,9632,10204,103,49,54,6986,19906,9671,10235,19802,9620,10182,104,51,53
"합계",양천구,신정2동,6858,18928,9291,9637,18834,9246,9588,94,45,49,6861,18924,9298,9626,18831,9254,9577,93,44,49,6857,18910,9293,9617,18817,9250,9567,93,43,50
"합계",양천구,신정3동,19817,50568,24465,26103,50228,24321,25907,340,144,196,19804,50496,24414,26082,50164,24272,25892,332,142,190,19805,50427,24380,26047,50092,24241,25851,335,139,196
"합계",양천구,신정6동,8178,24028,11665,12363,24007,11656,12351,21,9,12,8178,24007,11652,12355,23985,11642,12343,22,10,12,8168,23968,11636,12332,23945,11626,12319,23,10,13
"합계",양천구,신정7동,11487,28502,13702,14800,28345,13625,14720,157,77,80,11488,28497,13698,14799,28337,13622,14715,160,76,84,11496,28515,13691,14824,28354,13615,14739,161,76,85
"합계",양천구,목5동,13383,40673,20134,20539,40575,20089,20486,98,45,53,13386,40646,20118,20528,40547,20072,20475,99,46,53,13367,40552,20061,20491,40453,20016,20437,99,45,54
"합계",양천구,신정4동,16369,32908,15945,16963,32273,15690,16583,635,255,380,16381,32873,15926,16947,32235,15670,16565,638,256,382,16419,32880,15948,16932,32238,15687,16551,642,261,381
"합계",강서구,소계,274283,573711,275046,298665,568287,272693,295594,5424,2353,3071,274428,573334,274770,298564,567883,272404,295479,5451,2366,3085,274425,572748,274469,298279,567237,272061,295176,5511,2408,3103
"합계",강서구,염창동,16491,41511,19975,21536,41378,19909,21469,133,66,67,16491,41482,19967,21515,41348,19899,21449,134,68,66,16503,41499,19961,21538,41364,19895,21469,135,66,69
"합계",강서구,등촌1동,14088,24996,11492,13504,24773,11424,13349,223,68,155,14123,25037,11504,13533,24811,11438,13373,226,66,160,14140,25048,11518,13530,24819,11447,13372,229,71,158
"합계",강서구,등촌2동,8566,19739,9586,10153,19617,9536,10081,122,50,72,8563,19697,9550,10147,19574,9499,10075,123,51,72,8549,19656,9553,10103,19528,9497,10031,128,56,72
"합계",강서구,등촌3동,15048,29813,14086,15727,29651,14024,15627,162,62,100,15061,29773,14073,15700,29611,14011,15600,162,62,100,15062,29761,14057,15704,29590,13991,15599,171,66,105
"합계",강서구,화곡본동,17452,33950,16395,17555,33572,16249,17323,378,146,232,17478,33884,16358,17526,33507,16215,17292,377,143,234,17452,33800,16301,17499,33422,16158,17264,378,143,235
"합계",강서구,화곡2동,8243,17698,8516,9182,17420,8414,9006,278,102,176,8250,17697,8511,9186,17417,8406,9011,280,105,175,8250,17656,8480,9176,17378,8377,9001,278,103,175
"합계",강서구,화곡3동,9757,21489,10211,11278,21352,10159,11193,137,52,85,9730,21434,10200,11234,21301,10148,11153,133,52,81,9726,21438,10192,11246,21298,10137,11161,140,55,85
"합계",강서구,화곡4동,9706,20327,9943,10384,20052,9827,10225,275,116,159,9691,20266,9920,10346,19987,9802,10185,279,118,161,9699,20260,9927,10333,19975,9804,10171,285,123,162
